report_id,record_id,pmid,question_ids,title,agent_provisional_study_id,agent_recommendation,linkage_evidence,trial_registration_ids,duplicate_cluster_ids,component_report_count,confidence,source_record_sha256,decision_authority,human_link_decision,human_study_id,verified_by,verified_at
RPT-PUBMED-17071205,REC-PUBMED-17071205,17071205,B2,Routine oral calcium and vitamin D supplements for prevention of hypocalcemia after total thyroidectomy.,AGENT-STUDY-4246CBBB9F6C,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,abc9fc747dfc6eb7e35629a99e31dbb44a5c6a34df6c7e2c77ef21fe3dc2e716,agent_prereview_only,,,,
RPT-PUBMED-17076968,REC-PUBMED-17076968,17076968,A1,Does heart failure exacerbation increase response to warfarin? A critical review of the literature.,AGENT-STUDY-CDCEBFDCFC30,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,d8a5bfd820891b2739acc897b2caa1b42b3e78d4926ca551eba0d96dc01492d7,agent_prereview_only,,,,
RPT-PUBMED-17086935,REC-PUBMED-17086935,17086935,B2,Vitamin D receptor ligands for osteoporosis.,AGENT-STUDY-AD1CE49B1B77,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,a8b38076f9fef47b61dc783542ead9aa048be51fa789aa501fbf19aa8602ce39,agent_prereview_only,,,,
RPT-PUBMED-17102654,REC-PUBMED-17102654,17102654,A1,Life-threatening bleeding in a patient with a lupus inhibitor and probable acquired factor VII deficiency.,AGENT-STUDY-4ADCD16A456A,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,5dec58b4a2855c8e9a62f689af86ac218a29d5a63d9a35972b7c3824923eeb4b,agent_prereview_only,,,,
RPT-PUBMED-17106008,REC-PUBMED-17106008,17106008,A1,Effects of prednisone on the International Normalized Ratio.,AGENT-STUDY-005C8CEF762A,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,9cec8b60bc5f150432f8f935305c352564ca2bc6cdb343db5470c55605e90a23,agent_prereview_only,,,,
RPT-PUBMED-17106282,REC-PUBMED-17106282,17106282,B2,The role of calcium in peri- and postmenopausal women: 2006 position statement of the North American Menopause Society.,AGENT-STUDY-343633F3905F,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,2de7e849768d5b701ec1183398e503b4280d3b7fdeb648789cce844c78fd49c1,agent_prereview_only,,,,
RPT-PUBMED-17110451,REC-PUBMED-17110451,17110451,A1,Vitamin K supplementation can improve stability of anticoagulation for patients with unexplained variability in response to warfarin.,AGENT-STUDY-C89478A04F38,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,a0dcefee54af3c771495d331356e183321aad41e157d45476276b37e2081cff7,agent_prereview_only,,,,
RPT-PUBMED-17111199,REC-PUBMED-17111199,17111199,A1,"Genotypes of the cytochrome p450 isoform, CYP2C9, and the vitamin K epoxide reductase complex subunit 1 conjointly determine stable warfarin dose: a prospective study.",AGENT-STUDY-3FB3363C7A2C,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,f185afdda5922cd7f7a8624f7c54e0ab83bec2f9b4e54fcd80fcab90125312ce,agent_prereview_only,,,,
RPT-PUBMED-17111781,REC-PUBMED-17111781,17111781,A1,The management of patients who require temporary reversal of vitamin K antagonists for surgery: a practical guide for clinicians.,AGENT-STUDY-5AF743A8D1C9,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,b3dec78625e8179dd701d92fc623d3593673259f729b232b367c587c381ec492,agent_prereview_only,,,,
RPT-PUBMED-17112295,REC-PUBMED-17112295,17112295,A1,Pharmacogenetics of target genes across the warfarin pharmacological pathway.,AGENT-STUDY-F3F2B7088C8F,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,a3c69a42f939f4500aa5dcbd752bbc5cc0790aa5d59d4ea41fa53fc059dc2ab6,agent_prereview_only,,,,
RPT-PUBMED-17117062,REC-PUBMED-17117062,17117062,A1,Subcutaneous low molecular weight heparin for management of anticoagulation in infants on excor ventricular assist device.,AGENT-STUDY-ABDA24241D17,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,66f06df868d14a051de0cc27e22416cbb70535b8e126e6f0827c3d3af3e91ca9,agent_prereview_only,,,,
RPT-PUBMED-17123805,REC-PUBMED-17123805,17123805,B2,"Ablation of vitamin D signaling rescues bone, mineral, and glucose homeostasis in Fgf-23 deficient mice.",AGENT-STUDY-D701EE95D21E,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,d6bfa99cdd4da85fb1bfc18b1d3ab4ea7e608ad6d12b969c8f1259173dbd92a3,agent_prereview_only,,,,
RPT-PUBMED-17136683,REC-PUBMED-17136683,17136683,B2,Vitamin D retains an important role in the pathogenesis and management of secondary hyperparathyroidism in chronic renal failure.,AGENT-STUDY-887633D75246,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,79e2cf26c8954dc54fb542953b35c34de4f2bd39127021eafdfaacf6cb10fe95,agent_prereview_only,,,,
RPT-PUBMED-17142929,REC-PUBMED-17142929,17142929,B2,[Immobilization and hip fracture].,AGENT-STUDY-6F2DD3B4943C,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,bced2d3a81be4fbeb012480594fc0c478cbe62ead738e4231f1d8bca7e3d7f5d,agent_prereview_only,,,,
RPT-PUBMED-17142993,REC-PUBMED-17142993,17142993,B2,Sugihiratake mushroom (angel's wing mushroom)-induced cryptogenic encephalopathy may involve vitamin D analogues.,AGENT-STUDY-4FC4BE0188D6,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,a4aec1f4cd02b9e617334185b42899eb5cc81a2ff8486bc2f4b0686f423a7255,agent_prereview_only,,,,
RPT-PUBMED-17143047,REC-PUBMED-17143047,17143047,A1,Dietary vitamin K intake and anticoagulation in elderly patients.,AGENT-STUDY-A22342C31A8B,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,1f51870fe34e9b4e19cb5c9c0e8bd9a92dc9accfb588c7fa4f77d58ed1927d10,agent_prereview_only,,,,
RPT-PUBMED-17145139,REC-PUBMED-17145139,17145139,B2,Vitamin D toxicity redefined: vitamin K and the molecular mechanism.,AGENT-STUDY-B2C94769EA87,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,9eaa0afe2277cc371ad207277910c754521a2a1a5b15fa61a215e0bcb4747132,agent_prereview_only,,,,
RPT-PUBMED-17145251,REC-PUBMED-17145251,17145251,A1,Long-term low-molecular-weight heparin versus usual care in proximal-vein thrombosis patients with cancer.,AGENT-STUDY-73E4259F49EF,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,13e4fd1cd901500ea26a3315aee17e9f70502f20771b55ead6349ebaa7433268,agent_prereview_only,,,,
RPT-PUBMED-17145598,REC-PUBMED-17145598,17145598,A1,"Interaction between paracetamol and warfarin in patients: a double-blind, placebo-controlled, randomized study.",AGENT-STUDY-940BF0149967,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,d2c146da5af4282038e3ced7fe6ce3f613aaf71897b64f45ef3fdacec611417a,agent_prereview_only,,,,
RPT-PUBMED-17157547,REC-PUBMED-17157547,17157547,B2,Colorectal cancer: potential therapeutic benefits of Vitamin D.,AGENT-STUDY-C3B8EE2E84B6,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,d13c942bce35f562cf983c051bc81d2e1594cbcd4dd4040f8961ecd5a6d96562,agent_prereview_only,,,,
RPT-PUBMED-17159730,REC-PUBMED-17159730,17159730,A1,[Use and monitoring of vitamin K antagonists in everyday medical practice. French results of the international ISAM study of patients with nonvalvular atrial fibrillation].,AGENT-STUDY-687D486D2095,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,8b5a50d2b3fd9dbd8700c2cc7aa5b578dff525196f6bca23b95fa4ba881c3493,agent_prereview_only,,,,
RPT-PUBMED-17161516,REC-PUBMED-17161516,17161516,B1,Aluminum citrate inhibits cytotoxicity and aggregation of oxalate crystals.,AGENT-STUDY-6F848EA7CB67,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,5a4caa4051ba0b9c14f96354531167363e31436c569ed0f246b2b4cce0459126,agent_prereview_only,,,,
RPT-PUBMED-17164314,REC-PUBMED-17164314,17164314,B2,Elevations in serum and urinary calcium with parathyroid hormone (1-84) with and without alendronate for osteoporosis.,AGENT-STUDY-3ABF76A49F5E,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,ca54624564416f064274bc73f2ba662e41fa32f81e41e2fd7e41f607660b719d,agent_prereview_only,,,,
RPT-PUBMED-17172078,REC-PUBMED-17172078,17172078,B2,Concurrent septic arthritis and urinary tract infection in a patient with nephrocalcinosis and vesicoureteral reflux.,AGENT-STUDY-B6F8390E51B0,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,156666e0d76df74578b223ee3e6ef59eaa692ba8082623ac6eaa320a75b3d949,agent_prereview_only,,,,
RPT-PUBMED-17175318,REC-PUBMED-17175318,17175318,B2,Hypercalcemia due to resistant hyperparathyroidism in renal transplant patients treated with the calcimimetic agent cinacalcet.,AGENT-STUDY-5E482CD5F534,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,9c15f0ef0b7b2fe737d701943159e590b5256dfe7fe1f140fcbedf1db599a7b0,agent_prereview_only,,,,
RPT-PUBMED-17176918,REC-PUBMED-17176918,17176918,A1,Acute immuno-allergic interstitial nephritis caused by fluindione.,AGENT-STUDY-988E9DEDA77A,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,20b20c56315ea18c0d50d77f966d8412573ecdc20257c3f3686e881fc057142b,agent_prereview_only,,,,
RPT-PUBMED-17182793,REC-PUBMED-17182793,17182793,A2,Plasma triacylglycerol and coagulation factor concentrations predict the anticoagulant effect of dietary fish oil in overweight subjects.,AGENT-STUDY-B0BFF65473BC,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,f507ac6609d3e2ae289301391f39a7b8a23a405cd3ba69a4f2afd3170ef29bc1,agent_prereview_only,,,,
RPT-PUBMED-17183431,REC-PUBMED-17183431,17183431,A1,A single dose of oral vitamin K effectively reverses oral anticoagulation with phenprocoumon during heart catheterisation.,AGENT-STUDY-5664C3155A4E,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,1d742a51bb56f09b9f987bb51240cf2b08b73455196f0231b03a87d07ecf9d88,agent_prereview_only,,,,
RPT-PUBMED-17184967,REC-PUBMED-17184967,17184967,B1,Insulin resistance and low urinary citrate excretion in calcium stone formers.,AGENT-STUDY-3E7803B21AC2,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,638cd8f7ee803d384fc10b9b722d4b97b6886d83f4a67979e6ec03d8e3b95dc4,agent_prereview_only,,,,
RPT-PUBMED-17188479,REC-PUBMED-17188479,17188479,A1,Treatment of rats with the Pelargonium sidoides extract EPs 7630 has no effect on blood coagulation parameters or on the pharmacokinetics of warfarin.,AGENT-STUDY-099310F54A7C,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,97dd863f8865c4bbc9b0c8755fc687443f2bf015443d3ebc8c24ad010d1dfd72,agent_prereview_only,,,,
RPT-PUBMED-17192169,REC-PUBMED-17192169,17192169,A2,Subdural hematoma after a fall in an elderly patient taking high-dose omega-3 fatty acids with warfarin and aspirin: case report and review of the literature.,AGENT-STUDY-34BDF8E1A9BA,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,93e27d5c6272192e1ddf1e84c62e8fb9be6021fb45d5b1c349e763f75914229e,agent_prereview_only,,,,
RPT-PUBMED-17196157,REC-PUBMED-17196157,17196157,B2,"Removal of C-ring from the CD-ring skeleton of 1alpha,25-dihydroxyvitamin D3 does not alter its target tissue metabolism significantly.",AGENT-STUDY-82E8C5226498,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,ad6571b80d4470a325168a06b0a72dbe101271e30c8102241589043eae29c6a2,agent_prereview_only,,,,
RPT-PUBMED-17197169,REC-PUBMED-17197169,17197169,B2,Vitamin D in patients with renal failure: a summary of observational mortality studies and steps moving forward.,AGENT-STUDY-17033733DCC4,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,1f9c2d19d442b8ee6ab4650dfb58e9b44beed44706c96362fcc246658912409d,agent_prereview_only,,,,
RPT-PUBMED-17202729,REC-PUBMED-17202729,17202729,B2,The causes of hypercalcemia in Okinawan patients: an international comparison.,AGENT-STUDY-192C40D0D032,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,120ebbe24dcdcfd84f4479ec0327fd1d2447676650eafe8dd7330101b06eba26,agent_prereview_only,,,,
RPT-PUBMED-17207311,REC-PUBMED-17207311,17207311,B2,Clinical trials using chemopreventive vitamin D analogs in breast cancer.,AGENT-STUDY-693C8D4DFE76,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,94b50cac423989bf86914b78df3500d2a11942785e4b49bb7a41ff7d14686f57,agent_prereview_only,,,,
RPT-PUBMED-17207993,REC-PUBMED-17207993,17207993,B2,"Evaluation of C-2-substituted 19-nor-1alpha,25-dihydroxyvitamin D3 analogs as therapeutic agents for prostate cancer.",AGENT-STUDY-41A14932DF83,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,63a9e773ff6153295fea181bb1fe37a00e815a147e9edbd4801f70cad957296b,agent_prereview_only,,,,
RPT-PUBMED-17208082,REC-PUBMED-17208082,17208082,A1,Self-managed long-term low-molecular-weight heparin therapy: the balance of benefits and harms.,AGENT-STUDY-38AD29F576B6,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,cf64e5d2c205b0430fffd2b9a00e31c60ff8aa5473ece60a51358382bb593593,agent_prereview_only,,,,
RPT-PUBMED-17211096,REC-PUBMED-17211096,17211096,B2,[Therapeutic agents for disorders of bone and calcium metabolism: ED-71].,AGENT-STUDY-992A11EE0842,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,3854201a376baf87956cfaec932e870b584120edf9a6152fd343ae1816f73a2d,agent_prereview_only,,,,
RPT-PUBMED-17211265,REC-PUBMED-17211265,17211265,A1,Efficacy of warfarin reversal in orthopedic trauma surgery patients.,AGENT-STUDY-2918957D09CE,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,4e2657a55db2dc2d5f5931c0c4eecd4996a36d1216eb84696e2bc3e88ed1e506,agent_prereview_only,,,,
RPT-PUBMED-17215441,REC-PUBMED-17215441,17215441,B1,Differences in 24-hour urine composition between black and white women.,AGENT-STUDY-F73C236ED57E,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,bc275f8ab0bd8ec2e20ba650e01cda37f74edb90f7602715e0fb8be8bfef0f77,agent_prereview_only,,,,
RPT-PUBMED-17216477,REC-PUBMED-17216477,17216477,B2,Superiority of a combined treatment of Alendronate and Alfacalcidol compared to the combination of Alendronate and plain vitamin D or Alfacalcidol alone in established postmenopausal or male osteoporosis (AAC-Trial).,AGENT-STUDY-B1E3C2504217,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,4f1c45c934b1a6fb8b7ef4db16af0cafb6022ac112d73f017a83e593a91f5435,agent_prereview_only,,,,
RPT-PUBMED-17221328,REC-PUBMED-17221328,17221328,A1,Descriptive analysis of the process and quality of oral anticoagulation management in real-life practice in patients with chronic non-valvular atrial fibrillation: the international study of anticoagulation management (ISAM).,AGENT-STUDY-8466F7EEC641,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,57193ec8a0f069ff2073c98f923705fe042a94bb58854667f26695bf41ab6ed1,agent_prereview_only,,,,
RPT-PUBMED-17224271,REC-PUBMED-17224271,17224271,B2,The phosphatonins and the regulation of phosphate transport and vitamin D metabolism.,AGENT-STUDY-2A8B15D77440,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,f812b1d73af663966dc274d7cfa7886916bfd341acd93b66f2d7b036e0ccc813,agent_prereview_only,,,,
RPT-PUBMED-17228173,REC-PUBMED-17228173,17228173,B2,Prevalence of vitamin D deficiency and the safety and effectiveness of monthly ergocalciferol in hemodialysis patients.,AGENT-STUDY-0562CBD13C3C,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,7567ec17ac24ef5560c59c8a6a8a837b60a1dd14cb2644606192365be83da9fe,agent_prereview_only,,,,
RPT-PUBMED-17229018,REC-PUBMED-17229018,17229018,B2,Medical management of Paget's disease of bone: indications for treatment and review of current therapies.,AGENT-STUDY-AF61465C3700,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,f549891a18b30a4233155525ecbb2d19dd96c0235dbe46309aee9fd284f0d448,agent_prereview_only,,,,
RPT-PUBMED-17229665,REC-PUBMED-17229665,17229665,B2,Bisphosphonate treatment of tumor-induced hypercalcemia in a toddler: case report and review of related literature.,AGENT-STUDY-F7B3BD16CC6B,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,127cee4341af0683c0db3d9624d55295ea28def075149cb6f5504154319dc304,agent_prereview_only,,,,
RPT-PUBMED-17237623,REC-PUBMED-17237623,17237623,B2,Antitumor effects of two less-calcemic vitamin D analogs (Paricalcitol and QW-1624F2-2) in squamous cell carcinoma cells.,AGENT-STUDY-3062FEBD5F09,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,ddf3e3fdcbe937d365941caeb98b0276cfdeb5eecec5d813c94a17918cd58986,agent_prereview_only,,,,
RPT-PUBMED-17237840,REC-PUBMED-17237840,17237840,B2,Drug insight: vitamin D analogs in the treatment of secondary hyperparathyroidism in patients with chronic kidney disease.,AGENT-STUDY-93E2DAF3D60C,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,c4fa7b2314028617f84df4fc29365a5e40633fd7c6179bd35e0d8cad90918f62,agent_prereview_only,,,,
RPT-PUBMED-17237984,REC-PUBMED-17237984,17237984,B1,Increased water hardness and magnesium levels may increase occurrence of urolithiasis in cows from the Burdur region (Turkey).,AGENT-STUDY-815C3CCDFBB1,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,3899d5795b9cec4b37cb3b25a6cbd12177bbf17029bc3a4868f10f0b5ea5e7a5,agent_prereview_only,,,,
RPT-PUBMED-17244965,REC-PUBMED-17244965,17244965,A2,Use of recombinant factor VIIa for emergency reversal of anticoagulation.,AGENT-STUDY-A53D6E83C636,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,bc22568e38c016c529db886ad1c5f124c397c08ab0c85bf2257ae644b24b7c59,agent_prereview_only,,,,
RPT-PUBMED-17252252,REC-PUBMED-17252252,17252252,A1,[Bridging anticoagulation].,AGENT-STUDY-4569C66F5F85,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,dec02f1a8cff0ea8362ec471eb958f068c55c9ca042f076aa47e856f041aae4f,agent_prereview_only,,,,
RPT-PUBMED-17260164,REC-PUBMED-17260164,17260164,A1,Anticoagulation treatment for the reduction of stroke in atrial fibrillation: a cohort study to examine the gap between guidelines and routine medical practice.,AGENT-STUDY-B4DFE09AFED9,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,6aacda8dded9c61429a93ad2802221ed62d8d394daa2ded633438efbaf308b77,agent_prereview_only,,,,
RPT-PUBMED-17279274,REC-PUBMED-17279274,17279274,A1,[Secondary prophylaxis of venous thromboembolism].,AGENT-STUDY-12A325733EAC,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,a921a3b9928191a28ebcfa4616c2fdcc78298c6d32af23361226a42d66d0d46c,agent_prereview_only,,,,
RPT-PUBMED-17285294,REC-PUBMED-17285294,17285294,B2,Etiology of nephrocalcinosis in northern Indian children.,AGENT-STUDY-A909D35E8F0C,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,bfdeeb11c986059a0803bff664421e4b3a61c38cdf809ee06e0b7723e39f252f,agent_prereview_only,,,,
RPT-PUBMED-17285789,REC-PUBMED-17285789,17285789,A1,Treatment of warfarin-associated intracerebral hemorrhage: literature review and expert opinion.,AGENT-STUDY-231C17FE5DD8,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,4fbe0f2fd603c9713d496ec4fe0e2f9c018e1fec7283fcce216e6fa1493cc1f3,agent_prereview_only,,,,
RPT-PUBMED-17286236,REC-PUBMED-17286236,17286236,B1,Sporadic hypoparathyroidism treated with teriparatide: a case report and literature review.,AGENT-STUDY-9DF1429C107F,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,d39b47f330e9a00b6c944f7563d593961d7eac072547a79a8d42d3df28747c9b,agent_prereview_only,,,,
RPT-PUBMED-17295605,REC-PUBMED-17295605,17295605,A1,Vitamin K deficiency from long-term warfarin anticoagulation does not alter skeletal status in male rhesus monkeys.,AGENT-STUDY-A2E31B71E6E0,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,e196642fe962f934bf626d6d089658fc57d1a6d447d85ac61048f864472643ed,agent_prereview_only,,,,
RPT-PUBMED-17297531,REC-PUBMED-17297531,17297531,B2,Attitude of Physicians towards the Management of Bone Disease in Hemodialysis Patients: A Questionnaire Based Survey.,AGENT-STUDY-646FA4DD9CF4,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,b52ddf455e28978b41d4d5e36f3100dd1c4c255a80ace40a2d0c883896647a02,agent_prereview_only,,,,
RPT-PUBMED-17302522,REC-PUBMED-17302522,17302522,A1,Beyond heparin and warfarin: the new generation of anticoagulants.,AGENT-STUDY-C70F5CB2A4A3,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,a1d8ba2c287190e5e5a49f298617ec530c393864b42e79903105ff605a3009c5,agent_prereview_only,,,,
RPT-PUBMED-17323135,REC-PUBMED-17323135,17323135,A1,Prospective study of supplemental vitamin K therapy in patients on oral anticoagulants with unstable international normalized ratios.,AGENT-STUDY-57C6C89D8B03,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,3b7f5ad5632bc797c4f838302f915abba761488034c0afce95b29ec315ac2097,agent_prereview_only,,,,
RPT-PUBMED-17329985,REC-PUBMED-17329985,17329985,A1,Warfarin response and vitamin K epoxide reductase complex 1 in African Americans and Caucasians.,AGENT-STUDY-94262BA5592F,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,efd88ba63bd3f58099ef038134dabe16bc12f5d21b7ee0234faac4b0f5b6cec2,agent_prereview_only,,,,
RPT-PUBMED-17330453,REC-PUBMED-17330453,17330453,A1,Control of coagulation: a gift of Canadian agriculture.,AGENT-STUDY-B6B29CC1C673,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,f804e516ce59a367db8376cabd099e55871d46796a7fa981b0a1ca4f37bbf00b,agent_prereview_only,,,,
RPT-PUBMED-17336882,REC-PUBMED-17336882,17336882,A1,Anticoagulation in atrial fibrillation: a contemporary viewpoint.,AGENT-STUDY-32B47A825C68,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,a26bd8b74890a4e311825b51970311a0d4c4882c826f9616ba9c0bcc4a088f16,agent_prereview_only,,,,
RPT-PUBMED-17339618,REC-PUBMED-17339618,17339618,B2,Effect of recombinant human parathyroid hormone (1-84) on vertebral fracture and bone mineral density in postmenopausal women with osteoporosis: a randomized trial.,AGENT-STUDY-DE16553B57D9,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,0e2bcebe9fff8a981e47085f82c4faf63c2cd78a39f0eff7259472c91b3759a7,agent_prereview_only,,,,
RPT-PUBMED-17343658,REC-PUBMED-17343658,17343658,A2,Transcatheter arterial embolisation in anticoagulant-related haematoma--a current therapeutic option: a report of four patients and review of the literature.,AGENT-STUDY-AD652F323540,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,9df6bc58c5b0cc58f0dd60d4de3329777942a0783b30ff698a495745d5dd7cb0,agent_prereview_only,,,,
RPT-PUBMED-17347960,REC-PUBMED-17347960,17347960,B2,"[Calcimimetics, phosphate binders, vitamin D and its analogues for treating secondary hyperparathyroidism in chronic kidney disease: guideline from the Italian Society of Nephrology].",AGENT-STUDY-8A710A536FFF,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,e7ca3cbb886b194f567bb43cf334815952f527a4005ddfa0d339f23bc4b18fa1,agent_prereview_only,,,,
RPT-PUBMED-17356795,REC-PUBMED-17356795,17356795,A1,Relationship between diet and anticoagulant response to warfarin: a factor analysis.,AGENT-STUDY-5511E198E026,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,ee48bc9471ae6eba19425eb0d87bcfc214cca88788fbf0a15c216d4b8c439e7e,agent_prereview_only,,,,
RPT-PUBMED-17368185,REC-PUBMED-17368185,17368185,B2,Vitamin D analogs for secondary hyperparathyroidism: what does the future hold?,AGENT-STUDY-A446EDA73057,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,6f51ba2f4a25f4ff36b5e4b257f703292ed3045dc6f8850352bc64e22c2f4479,agent_prereview_only,,,,
RPT-PUBMED-17368190,REC-PUBMED-17368190,17368190,B2,Selective vitamin D receptor modulators and their effects on colorectal tumor growth.,AGENT-STUDY-41FB847F5E5B,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,15a7f4ef2ebbd93203ddc8c9967f663f2da850c624fbaf367d1f6c0a6cd3afb2,agent_prereview_only,,,,
RPT-PUBMED-17368277,REC-PUBMED-17368277,17368277,A2,Safety considerations with omega-3 fatty acid therapy.,AGENT-STUDY-1726D60FF295,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,beaad9a3ad97a1fe009e2bb1221111d2cef79f093fb9d3630ce05b5c8faba425,agent_prereview_only,,,,
RPT-PUBMED-17380255,REC-PUBMED-17380255,17380255,A1,Low-dose oral vitamin K to normalize the international normalized ratio prior to surgery in patients who require temporary interruption of warfarin.,AGENT-STUDY-297C367E553C,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,4d65ba7907d6f4841c9ef599d363f743828aecbc7d1296b382c30c82391c13e7,agent_prereview_only,,,,
RPT-PUBMED-17381533,REC-PUBMED-17381533,17381533,B2,Effects of lowering dialysate calcium concentration on mineral metabolism and parathyroid hormone secretion: a multicentric study.,AGENT-STUDY-9A6D736B6771,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,62e215d0b64ebe19025afc22418149d502c5a3eff4430daec4f252d8f4141c7b,agent_prereview_only,,,,
RPT-PUBMED-17384395,REC-PUBMED-17384395,17384395,A1,"Case of the month: ""Oh! Drat!--A case of transcutaneous superwarfarin poisoning and its recurrent presentation"".",AGENT-STUDY-ED19329923BC,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,06a6e2f1275e219b782c9078ae1292fd5c71be3f1afbb309570954f5a9487250,agent_prereview_only,,,,
RPT-PUBMED-17387222,REC-PUBMED-17387222,17387222,A1,Genetic-based dosing in orthopedic patients beginning warfarin therapy.,AGENT-STUDY-E5E9B3AE1FA8,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,d8006a17a0ae27904feb90af108806fa7ebff7649a47f6dcc07093dd665214b7,agent_prereview_only,,,,
