link_candidate_id,nct_id,registry_record_id,pmid,pubmed_record_id,reference_type,registry_question_ids,registry_title,pubmed_title,pubmed_doi,agent_recommendation,recommendation_reason,pubmed_in_search_corpus,source_context_sha256,decision_authority,human_link_decision,verified_by,verified_at
LINK-CTGOV-NCT00970619-PMID-32604427,NCT00970619,REC-CTGOV-NCT00970619,32604427,REC-PUBMED-32604427,DERIVED,A1,DUTCH CAVA-trial: CAtheter Versus Anticoagulation Alone for Acute Primary (Ilio)Femoral DVT.,,,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,false,84dbc66da711ee8ee6f5e24291083cd9794537b34c7f69748f2c2629f0aa9d9b,agent_prereview_only,,,
LINK-CTGOV-NCT00970619-PMID-34032127,NCT00970619,REC-CTGOV-NCT00970619,34032127,REC-PUBMED-34032127,DERIVED,A1,DUTCH CAVA-trial: CAtheter Versus Anticoagulation Alone for Acute Primary (Ilio)Femoral DVT.,,,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,false,5d124b946594966ebcfd7b1981b0cd63d9244024abff879e7976358a30d2172c,agent_prereview_only,,,
LINK-CTGOV-NCT00970619-PMID-35347362,NCT00970619,REC-CTGOV-NCT00970619,35347362,REC-PUBMED-35347362,DERIVED,A1,DUTCH CAVA-trial: CAtheter Versus Anticoagulation Alone for Acute Primary (Ilio)Femoral DVT.,,,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,false,8695f2cdf8e00b54f70651be8612867e1bcfcd325449de95bae9528f5c4a708f,agent_prereview_only,,,
LINK-CTGOV-NCT00970619-PMID-38547453,NCT00970619,REC-CTGOV-NCT00970619,38547453,REC-PUBMED-38547453,DERIVED,A1,DUTCH CAVA-trial: CAtheter Versus Anticoagulation Alone for Acute Primary (Ilio)Femoral DVT.,,,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,false,0a87e358a46f7365960a8be82cce9b174db4b421bb0a36a12127d3fca40d63c1,agent_prereview_only,,,
LINK-CTGOV-NCT00970619-PMID-39968829,NCT00970619,REC-CTGOV-NCT00970619,39968829,REC-PUBMED-39968829,DERIVED,A1,DUTCH CAVA-trial: CAtheter Versus Anticoagulation Alone for Acute Primary (Ilio)Femoral DVT.,,,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,false,ccba0cf7471f1ca7c106cbe81e011d02c47e0345dd8a9344cff0b72a790ca8c6,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-11075768,NCT00990158,REC-CTGOV-NCT00990158,11075768,REC-PUBMED-11075768,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,Treatment of warfarin-associated coagulopathy with oral vitamin K: a randomised controlled trial.,10.1016/s0140-6736(00)03125-1,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,695e6134405e9c4b95c3edab0dc6c38ff2ab346ebe0477e1101b1c69f4aedd00,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-11260056,NCT00990158,REC-CTGOV-NCT00990158,11260056,REC-PUBMED-11260056,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,The association of vitamin K status with warfarin sensitivity at the onset of treatment.,10.1046/j.1365-2141.2001.02635.x,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,4005ad6495e01ef43c498a6b1e595a02b5b2d423778ec0d589a27991bf28eb71,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-11790213,NCT00990158,REC-CTGOV-NCT00990158,11790213,REC-PUBMED-11790213,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,38e52f48c3cf2747ac1715deb04e184a463178fb48b413d4468c27beecad2178,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-11994567,NCT00990158,REC-CTGOV-NCT00990158,11994567,REC-PUBMED-11994567,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,f2c6e9ab3e949de81407baa826376c81901da5c1b7dfa39db45057dd67747ae3,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-12152676,NCT00990158,REC-CTGOV-NCT00990158,12152676,REC-PUBMED-12152676,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,Low dose oral vitamin K to reverse acenocoumarol-induced coagulopathy: a randomized controlled trial.,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,c0cfe11e3313b6f0e3566de28e457579f040a584c32b018a280f68adcbfbca6a,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-14717783,NCT00990158,REC-CTGOV-NCT00990158,14717783,REC-PUBMED-14717783,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,Dietary vitamin K influences intra-individual variability in anticoagulant response to warfarin.,10.1046/j.1365-2141.2003.04787.x,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,a3ae2bd5741a2f328dd9bdf7dee6b80563a122570e7116e9c2c3953ba7521002,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-14739631,NCT00990158,REC-CTGOV-NCT00990158,14739631,REC-PUBMED-14739631,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,43a7983e5b2f2aa9b86837faeee76c8fdeea2688b3569946b5516574a8bf8692,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-14760216,NCT00990158,REC-CTGOV-NCT00990158,14760216,REC-PUBMED-14760216,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,Vitamin K for the treatment of asymptomatic coagulopathy associated with oral anticoagulant therapy.,10.1023/b:thro.0000014597.87575.e9,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,8529f8fe3d2b979ec5bfb88b1f54683c5b06635990e7ea211118daf852785d11,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-14993179,NCT00990158,REC-CTGOV-NCT00990158,14993179,REC-PUBMED-14993179,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,Low-dose oral vitamin K therapy for the management of asymptomatic patients with elevated international normalized ratios: a brief review.,10.1503/cmaj.1030478,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,135c9325bd3f9426c030c4b3983dd1695018f229a0d0fe178ff4cabbd86a0b52,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-15121498,NCT00990158,REC-CTGOV-NCT00990158,15121498,REC-PUBMED-15121498,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,Vitamin K and oral anticoagulation: thought for food.,10.1016/j.amjmed.2004.02.020,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,19d8dbd6e2c34c3b82292042593f78d91b3e80c4f049d91fd0fffdaf10f79179,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-15140584,NCT00990158,REC-CTGOV-NCT00990158,15140584,REC-PUBMED-15140584,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,Low-dose oral vitamin K is safe and effective for outpatient management of patients with an INR>10.,10.1016/j.thromres.2004.03.004,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,d3909c602fcaa4fca65f0022072b592c528a274995a95f73ba56ffc720934593,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-15231565,NCT00990158,REC-CTGOV-NCT00990158,15231565,REC-PUBMED-15231565,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,5968fdfbdbfdcaf7c033b45780dda1bc33e286bbf4183d15ee49807a523751fc,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-15231615,NCT00990158,REC-CTGOV-NCT00990158,15231615,REC-PUBMED-15231615,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,01e93340e12a67ddb5ce16e002012b785cd42cc9c1bac37efdb066e410ad3e1b,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-15642685,NCT00990158,REC-CTGOV-NCT00990158,15642685,REC-PUBMED-15642685,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,Oral vitamin K produces a normal INR within 24 hours of its administration in most patients discontinuing warfarin.,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,1e08193ee111b6fbf117bf599b96606cf8caa38683c7dde1469f99113f0fa380,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-15886802,NCT00990158,REC-CTGOV-NCT00990158,15886802,REC-PUBMED-15886802,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,Patients with unstable control have a poorer dietary intake of vitamin K compared to patients with stable control of anticoagulation.,10.1160/th04-12-0773,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,09dc93b0d66c70c9784ee35b2d4bdc17ad10461f022f6e895ca524dfeab1ee26,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-16098445,NCT00990158,REC-CTGOV-NCT00990158,16098445,REC-PUBMED-16098445,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,A randomized trial comparing 1 mg of oral vitamin K with no treatment in the management of warfarin-associated coagulopathy in patients with mechanical heart valves.,10.1016/j.jacc.2005.05.022,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,aa0bb82ffb4666c983f3a873d9a85d2d8a52354e2a9d62e8bddc8e7401c85858,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-16305294,NCT00990158,REC-CTGOV-NCT00990158,16305294,REC-PUBMED-16305294,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,Low-dose vitamin K to augment anticoagulation control.,10.1592/phco.2005.25.12.1746,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,52976c74c9234c203d168458c87d4b655a27b34b0f88b4d6c001edd03322a230,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-17110451,NCT00990158,REC-CTGOV-NCT00990158,17110451,REC-PUBMED-17110451,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,Vitamin K supplementation can improve stability of anticoagulation for patients with unexplained variability in response to warfarin.,10.1182/blood-2006-09-049262,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,bcff9a716b174152604d9cf1adfcfd195554f7bb4f1755041ee9a4e28e6cb373,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-17111199,NCT00990158,REC-CTGOV-NCT00990158,17111199,REC-PUBMED-17111199,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,"Genotypes of the cytochrome p450 isoform, CYP2C9, and the vitamin K epoxide reductase complex subunit 1 conjointly determine stable warfarin dose: a prospective study.",10.1007/s11239-006-9030-7,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,52ba361467243e07247f6e31fcbc42e45f0222909215adbd0d50288581b5b6f7,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-17242311,NCT00990158,REC-CTGOV-NCT00990158,17242311,REC-PUBMED-17242311,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,8cca5e6a71378c815f051969984faa9897f709c91782ae053cfe509ff61e1fdf,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-17323135,NCT00990158,REC-CTGOV-NCT00990158,17323135,REC-PUBMED-17323135,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,Prospective study of supplemental vitamin K therapy in patients on oral anticoagulants with unstable international normalized ratios.,10.1007/s11239-007-0014-z,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,eda265fe18acac3fe4e7d1bc307ca47c13be73cd67c3645efc143e1e07775396,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-17380255,NCT00990158,REC-CTGOV-NCT00990158,17380255,REC-PUBMED-17380255,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,Low-dose oral vitamin K to normalize the international normalized ratio prior to surgery in patients who require temporary interruption of warfarin.,10.1007/s11239-007-0022-z,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,086ea206361bf09f8cba5b059d432b9de66c75aa4bfa9e9d9c3db62608ca33f9,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-17588394,NCT00990158,REC-CTGOV-NCT00990158,17588394,REC-PUBMED-17588394,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,Warfarin cessation before cardiopulmonary bypass: lessons learned from a randomized controlled trial of oral vitamin K.,10.1016/j.athoracsur.2007.03.014,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,93319d6e6cb5cbb8e2cec000e9cc133332202cad36e510352c3d6a00bbfe19ad,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-17620536,NCT00990158,REC-CTGOV-NCT00990158,17620536,REC-PUBMED-17620536,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,01c5ebd0c7237e932d6ce5ca2c5a98dae7d5589bbf0cd6b0f7e81234c397e906,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-17666020,NCT00990158,REC-CTGOV-NCT00990158,17666020,REC-PUBMED-17666020,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,Daily vitamin K supplementation improves anticoagulant stability.,10.1111/j.1538-7836.2007.02715.x,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,6d33ab2c32a7c1695f92375827040f7350bd767a0e37d642a17d44166762519f,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-18466315,NCT00990158,REC-CTGOV-NCT00990158,18466315,REC-PUBMED-18466315,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,Vitamin K epoxide reductase complex subunit 1 (VKORC1 ) polymorphism influences the anticoagulation response subsequent to vitamin K intake: a pilot study.,10.1111/j.1538-7836.2008.03003.x,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,d0a0a0079f6373a543c553a1ed552e2838fdcea0e041803c5d6435477d0b4694,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-18574265,NCT00990158,REC-CTGOV-NCT00990158,18574265,REC-PUBMED-18574265,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,Pharmacology and management of the vitamin K antagonists: American College of Chest Physicians Evidence-Based Clinical Practice Guidelines (8th Edition).,10.1378/chest.08-0670,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,88bc3caac283e8b0c28c8abc94ab00e55789854e4d766644324ce41587c2d962,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-18574268,NCT00990158,REC-CTGOV-NCT00990158,18574268,REC-PUBMED-18574268,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,Hemorrhagic complications of anticoagulant and thrombolytic treatment: American College of Chest Physicians Evidence-Based Clinical Practice Guidelines (8th Edition).,10.1378/chest.08-0674,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,01c9a11ed355aa5de58e4208a0db2bcc30a68365b6176bcb0125932201e41d9b,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-18598364,NCT00990158,REC-CTGOV-NCT00990158,18598364,REC-PUBMED-18598364,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,3e682440cdf517ebc3cfb93a5f8899ae7352ee8918daaa811860622cc0afd6d9,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-18657012,NCT00990158,REC-CTGOV-NCT00990158,18657012,REC-PUBMED-18657012,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,f2270b7755929fbdfca553de062387736cd7bef575ef7a7cd607729d421b971a,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-18663203,NCT00990158,REC-CTGOV-NCT00990158,18663203,REC-PUBMED-18663203,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,21ee59bfbb724e5174d36a44f7123946636a8629cf8ac87a87ba10f44408a16a,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-19738137,NCT00990158,REC-CTGOV-NCT00990158,19738137,REC-PUBMED-19738137,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,ebe5a315fc88492323e4e3bec34bfb2bae600925dc6a7b52e68486f44b456715,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-27346552,NCT00990158,REC-CTGOV-NCT00990158,27346552,REC-PUBMED-27346552,DERIVED,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,The effect of low-dose oral vitamin K supplementation on INR stability in patients receiving warfarin. A randomised trial.,10.1160/th16-04-0320,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,true,5190160a13d3004be58990ffb786ad173bdecf3bbe3dc878ebbb448ec5a6f55a,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-8470047,NCT00990158,REC-CTGOV-NCT00990158,8470047,REC-PUBMED-8470047,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,e9f34b6e60e346a47c6ee70372a2164ad5c593aec67ac5c29d79011f10eb634d,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-9066002,NCT00990158,REC-CTGOV-NCT00990158,9066002,REC-PUBMED-9066002,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,Dietary vitamin K1 and stability of oral anticoagulation: proposal of a diet with constant vitamin K1 content.,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,a29543537799c653f2888e002e779b57117f40da32d01c147b609bac8c849072,agent_prereview_only,,,
LINK-CTGOV-NCT00990158-PMID-9657434,NCT00990158,REC-CTGOV-NCT00990158,9657434,REC-PUBMED-9657434,BACKGROUND,A1,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,Low-dose oral vitamin K reliably reverses over-anticoagulation due to warfarin.,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,cb20dd56d86d7098e9dd529466834b7a1c1b1791ef5556a882bafcf7c5ccbce5,agent_prereview_only,,,
LINK-CTGOV-NCT01006733-PMID-19874474,NCT01006733,REC-CTGOV-NCT01006733,19874474,REC-PUBMED-19874474,BACKGROUND,A1,Genetics Informatics Trial (GIFT) of Warfarin to Prevent DVT,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,a7e459958f8fb89dcb09ef8b117a85d362c5fe79b435e5595ee430a52ba6a350,agent_prereview_only,,,
LINK-CTGOV-NCT01006733-PMID-20375999,NCT01006733,REC-CTGOV-NCT01006733,20375999,REC-PUBMED-20375999,BACKGROUND,A1,Genetics Informatics Trial (GIFT) of Warfarin to Prevent DVT,"Integration of genetic, clinical, and INR data to refine warfarin dosing.",10.1038/clpt.2010.13,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,8abef5a80d9b170f895e7025ba881a379c69b53ca51024d35bbd807c0c51637d,agent_prereview_only,,,
LINK-CTGOV-NCT01006733-PMID-20694283,NCT01006733,REC-CTGOV-NCT01006733,20694283,REC-PUBMED-20694283,BACKGROUND,A1,Genetics Informatics Trial (GIFT) of Warfarin to Prevent DVT,Gamma-glutamyl carboxylase and its influence on warfarin dose.,10.1160/th09-11-0763,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,d5d0feb98f1a45588a953f1508b5480288361033d1b64b0e3afa3000c1dbbbdd,agent_prereview_only,,,
LINK-CTGOV-NCT01006733-PMID-21272753,NCT01006733,REC-CTGOV-NCT01006733,21272753,REC-PUBMED-21272753,BACKGROUND,A1,Genetics Informatics Trial (GIFT) of Warfarin to Prevent DVT,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,da7e8fc93734647ea44a7e3a2610826efaa2bc025e1ed0935dae71ae26a5b5b5,agent_prereview_only,,,
LINK-CTGOV-NCT01006733-PMID-21606949,NCT01006733,REC-CTGOV-NCT01006733,21606949,REC-PUBMED-21606949,BACKGROUND,A1,Genetics Informatics Trial (GIFT) of Warfarin to Prevent DVT,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,fa1854fe612c144c4c5e45ed48ad0599af8023568bbc577f00f47c6e7ec2a34e,agent_prereview_only,,,
LINK-CTGOV-NCT01006733-PMID-21900891,NCT01006733,REC-CTGOV-NCT01006733,21900891,REC-PUBMED-21900891,BACKGROUND,A1,Genetics Informatics Trial (GIFT) of Warfarin to Prevent DVT,Clinical Pharmacogenetics Implementation Consortium Guidelines for CYP2C9 and VKORC1 genotypes and warfarin dosing.,10.1038/clpt.2011.185,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,e50ab3eef22b0c60584c5210794b9df10210476f1e7fc5f123fce476acf644f7,agent_prereview_only,,,
LINK-CTGOV-NCT01006733-PMID-22186998,NCT01006733,REC-CTGOV-NCT01006733,22186998,REC-PUBMED-22186998,BACKGROUND,A1,Genetics Informatics Trial (GIFT) of Warfarin to Prevent DVT,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,4abba9ac8491aa52b7995a4599e978dcaa4266732478b4c3060375ec5af3aa76,agent_prereview_only,,,
LINK-CTGOV-NCT01006733-PMID-25521356,NCT01006733,REC-CTGOV-NCT01006733,25521356,REC-PUBMED-25521356,BACKGROUND,A1,Genetics Informatics Trial (GIFT) of Warfarin to Prevent DVT,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,c1bc2b362a4081f488189ff5acfdd404df607c109de660f132200c6018f28a45,agent_prereview_only,,,
LINK-CTGOV-NCT01006733-PMID-26156715,NCT01006733,REC-CTGOV-NCT01006733,26156715,REC-PUBMED-26156715,BACKGROUND,A1,Genetics Informatics Trial (GIFT) of Warfarin to Prevent DVT,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,81da3be41977c79a3e00bb1cebc4eb9a7bf845ed362064f9924a0c0b0effdf45,agent_prereview_only,,,
